song.full_title,sentiment_nrc,sentiment_harv,number
Every Little Thing,"positive (8), trust (7), joy (6), negative (5), sadness (5), anticipation (4), fear (3), disgust (1)",positive,1
Yasmina,"negative (6), anger (4), joy (4), positive (4), trust (4), anticipation (1), disgust (1), fear (1), sadness (1)",negative,2
Am I Your Girl,"negative (2), sadness (2), trust (2), disgust (1)",negative,3
Little Dive,"negative (15), positive (14), anticipation (8), fear (7), sadness (7), surprise (7), trust (7), disgust (5), anger (4)",positive,4
Outta Here,"negative (14), anticipation (11), positive (10), disgust (9), anger (8), fear (6), sadness (6), surprise (5), joy (4), trust (3)",positive,5
Did You Love Somebody,"negative (9), anger (6), fear (6), joy (6), positive (6), sadness (4), disgust (2), anticipation (1), trust (1)",negative,6
St. Mark's Funny Feeling,"negative (14), anticipation (9), disgust (9), sadness (9), fear (8), anger (7), positive (7), trust (7), joy (5), surprise (5)",positive,7
Magpie,"negative (9), positive (7), joy (5), sadness (3), surprise (3), anger (2), anticipation (2), disgust (2), trust (2)",negative and positive,8
Nowhere Next To Me,"negative (12), sadness (9), anger (8), disgust (8), fear (8), joy (7), positive (7), trust (4), anticipation (3), surprise (3)",positive,9
Wax & Wane,"negative (3), positive (3), sadness (3), surprise (3), trust (3), anticipation (2), joy (2), fear (1)",positive,10
Your Long Black Hair,"anticipation (11), negative (9), sadness (8), fear (5), disgust (4), anger (3), joy (2), positive (2), surprise (2), trust (2)",positive,11
